label,message
spam,Work from home earn 3000 weekly. No experience required apply now
spam,Your delivery is on hold. Confirm your address at link to proceed
ham,I will pick you up at 6pm from the station
spam,Work from home earn 3000 weekly. No experience required apply now
spam,You have been pre-approved for a credit card with zero interest
ham,Can you pick up some milk on your way home?
ham,"The internet is down at home, using mobile data"
ham,Can you review my code before the deadline please
ham,"The match starts at 8pm, are you watching?"
spam,Lose weight fast with our miracle pill. Order now get 50 percent off
ham,See you at the office tomorrow morning
spam,CASH! 1000 pound prize! Txt CLAIM to 84484 to claim your reward
ham,What time does the movie start? I will book tickets
spam,Free prize waiting! Text WIN to 80086 now to claim your reward
spam,ALERT: Suspicious login detected. Verify your account immediately
ham,"Dinner is ready, come home soon"
spam,Your account will be suspended unless you verify your details now
ham,Need to borrow your notes from last class please
ham,Please bring your ID for the appointment tomorrow
ham,What did you think of the new restaurant we tried
spam,Your loan application approved. Collect cash from any branch
ham,What did you think of the new restaurant we tried
spam,Congratulations! Your number was randomly selected for a prize
ham,I will pick you up at 6pm from the station
ham,Can you review my code before the deadline please
ham,See you at the office tomorrow morning
spam,Work from home earn 3000 weekly. No experience required apply now
ham,I will pick you up at 6pm from the station
ham,I will send you the report by end of day
ham,"Hey, are you coming to the party tonight?"
spam,Your phone bill is overdue. Pay now to avoid disconnection
spam,Exclusive deal! Get 50 percent off your next purchase. Limited time
ham,Your feedback on the presentation was very helpful
spam,You have been selected! Call now to claim your cash prize of 2000
ham,"Thanks for the help yesterday, really appreciated it"
ham,Can you review my code before the deadline please
ham,We need to talk about the weekend plans
spam,Free gift card worth 100 dollars. Claim before it expires today
spam,Urgent! Your mobile number has been awarded 2000 bonus points
ham,The meeting has been rescheduled to 3pm tomorrow
ham,What did you think of the new restaurant we tried
spam,Call now for your free consultation. Limited time offer expires today
spam,You have been pre-approved for a credit card with zero interest
spam,You qualify for a 5000 loan. No credit check. Apply now at link
spam,URGENT! You have won a 1 week FREE membership in our prize draw
spam,You have been pre-approved for a credit card with zero interest
ham,I will pick you up at 6pm from the station
ham,What did you think of the new restaurant we tried
spam,Call now for your free consultation. Limited time offer expires today
spam,Your account will be suspended unless you verify your details now
spam,You have been pre-approved for a credit card with zero interest
spam,Call now for your free consultation. Limited time offer expires today
ham,Please confirm your attendance for the wedding
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005
ham,What did you think of the new restaurant we tried
ham,"I found your keys, they were on the kitchen counter"
spam,Make money fast! Join our network marketing program now
ham,Can we reschedule our meeting to next week?
ham,The project deadline has been extended by one week
ham,The package you ordered has been delivered
ham,I will pick you up at 6pm from the station
spam,Special offer: Buy one get one free. Today only. Click here
spam,You owe money. Pay immediately or face legal action. Call now
spam,Earn 500 per day from home. No experience needed. Join now
spam,Your account will be suspended unless you verify your details now
ham,"I am at the grocery store, do you need anything?"
spam,Call now for your free consultation. Limited time offer expires today
ham,What did you think of the new restaurant we tried
ham,The kids are doing great in school this semester
spam,Lose weight fast with our miracle pill. Order now get 50 percent off
ham,I will pick you up at 6pm from the station
ham,"I will be late today, please start without me"
ham,I will pick you up at 6pm from the station
spam,You have been pre-approved for a credit card with zero interest
ham,Reminder: Doctor appointment at 10am tomorrow
spam,Your account will be suspended unless you verify your details now
ham,I will pick you up at 6pm from the station
ham,"The concert was amazing last night, you missed out"
spam,FREE MSG: Claim your free ringtone now! Text YES to 87575
spam,Work from home earn 3000 weekly. No experience required apply now
ham,Can you review my code before the deadline please
ham,Can you send me the address for the event?
ham,Did you finish the assignment for tomorrow?
spam,Call now for your free consultation. Limited time offer expires today
spam,Lose weight fast with our miracle pill. Order now get 50 percent off
ham,Happy birthday! Hope you have a wonderful day
ham,Happy to help anytime you need it
spam,SMS: Your 500 pound loan is approved. Call 08712400200 now
ham,Are you free for lunch tomorrow? Let me know
spam,Call now for your free consultation. Limited time offer expires today
spam,Work from home earn 3000 weekly. No experience required apply now
ham,See you at the office tomorrow morning
spam,Work from home earn 3000 weekly. No experience required apply now
ham,Happy to help anytime you need it
ham,See you at the office tomorrow morning
spam,Your account will be suspended unless you verify your details now
spam,Congratulations ur awarded 500 of bonus points. call 09066649731
spam,Win a brand new car! Text CAR to 62935 now. Free entry!
ham,Happy to help anytime you need it
ham,See you at the office tomorrow morning
spam,WINNER! You have been selected to receive a 900 prize reward
spam,Hot singles in your area waiting to meet you. Click here now
ham,"The weather is great today, want to go for a walk?"
spam,Lose weight fast with our miracle pill. Order now get 50 percent off
ham,Can you review my code before the deadline please
spam,You are a lucky winner of 5000 pounds. Call 09061743810 now
ham,What did you think of the new restaurant we tried
spam,Call now for your free consultation. Limited time offer expires today
spam,Congratulations! You have been selected for a free iPhone. Click here
ham,Let us catch up over coffee sometime this week
ham,I have sent you the documents via email
ham,Can you review my code before the deadline please
ham,"I saw your message, will reply in detail later"
ham,See you at the office tomorrow morning
ham,Good morning! Hope you have a great day ahead
ham,Happy to help anytime you need it
ham,I booked a table for 7pm at the restaurant
